All event log messages.
Date:	2014-08-19 10:18:08
System Name:	2600-501273
Controller Name:	
Controller Id	2600-501273

RobotWare:	5.15.5001
Key:	ec2222Bz6xD9A22I22Y422h22Go23z
Options:	
	RW Control module key
	RobotWare OS and English
	644-3 Spanish
		645-2 German
		709-x DeviceNet
			709-2/709-5 Master/Slave Dual
			608-1 World Zones
			611-1 Path Recovery
			613-1 Collision Detection
			812-1 Production Manager
			633-1 Arc
				650-x Power source type
					External option loaded Welder
					652-1 BullsEye
					653-x Torch Service
						653-2 Binzel - TC97

DriveModule1
Key:	Mxth-XqT01hhjhRhK
Options:	
	RW Drive module 1 key
	ABB standard manipulator
		IRB 2600
			2600ID-8/2.00
				No motor fan
				Drive System 09 2600/4400/6400R
					No additional drive

AW-MILLER-AA-007
	Key:	07PPWQPPPPO-.PFlVhgF5E-1b
Options:	

Common log messages
SeqNo     	Type	Category            	Code    	Title                                   	Date                	Description	Arguments
45362     	I   	Operational         	10123   	Program stopped                         	2014-08-18 11:09:13 	The task T_ROB1 has stopped. The reason is that the task is ready with this step. 	{args: "1", "T_ROB1"}
45363     	I   	Operational         	10052   	Regain start                            	2014-08-18 11:09:15 	A regain movement has started.	{args: "0"}
45364     	I   	Operational         	10053   	Regain ready                            	2014-08-18 11:09:15 	The regain movement is ready.	{args: "0"}
45365     	I   	Operational         	10156   	Program restarted                       	2014-08-18 11:09:15 	Execution of task T_ROB1 has been restarted from where it was previously stopped. The originator is an external client.	{args: "1", "T_ROB1"}
45366     	I   	Operational         	10123   	Program stopped                         	2014-08-18 11:09:15 	The task T_ROB1 has stopped. The reason is that the task is ready with this step. 	{args: "1", "T_ROB1"}
45367     	I   	Operational         	10052   	Regain start                            	2014-08-18 11:09:20 	A regain movement has started.	{args: "0"}
45368     	I   	Operational         	10053   	Regain ready                            	2014-08-18 11:09:20 	The regain movement is ready.	{args: "0"}
45369     	I   	Operational         	10156   	Program restarted                       	2014-08-18 11:09:20 	Execution of task T_ROB1 has been restarted from where it was previously stopped. The originator is an external client.	{args: "1", "T_ROB1"}
45370     	I   	Operational         	10123   	Program stopped                         	2014-08-18 11:09:20 	The task T_ROB1 has stopped. The reason is that the task is ready with this step. 	{args: "1", "T_ROB1"}
45371     	I   	Operational         	10052   	Regain start                            	2014-08-18 11:09:21 	A regain movement has started.	{args: "0"}
45372     	I   	Operational         	10053   	Regain ready                            	2014-08-18 11:09:21 	The regain movement is ready.	{args: "0"}
45373     	I   	Operational         	10156   	Program restarted                       	2014-08-18 11:09:21 	Execution of task T_ROB1 has been restarted from where it was previously stopped. The originator is an external client.	{args: "1", "T_ROB1"}
45374     	I   	Operational         	10123   	Program stopped                         	2014-08-18 11:09:21 	The task T_ROB1 has stopped. The reason is that the task is ready with this step. 	{args: "1", "T_ROB1"}
45375     	I   	Operational         	10052   	Regain start                            	2014-08-18 11:09:22 	A regain movement has started.	{args: "0"}
45376     	I   	Operational         	10053   	Regain ready                            	2014-08-18 11:09:22 	The regain movement is ready.	{args: "0"}
45377     	I   	Operational         	10156   	Program restarted                       	2014-08-18 11:09:22 	Execution of task T_ROB1 has been restarted from where it was previously stopped. The originator is an external client.	{args: "1", "T_ROB1"}
45378     	I   	Operational         	10123   	Program stopped                         	2014-08-18 11:09:22 	The task T_ROB1 has stopped. The reason is that the task is ready with this step. 	{args: "1", "T_ROB1"}
45379     	I   	Operational         	10052   	Regain start                            	2014-08-18 11:09:23 	A regain movement has started.	{args: "0"}
45380     	I   	Operational         	10053   	Regain ready                            	2014-08-18 11:09:23 	The regain movement is ready.	{args: "0"}
45381     	I   	Operational         	10156   	Program restarted                       	2014-08-18 11:09:23 	Execution of task T_ROB1 has been restarted from where it was previously stopped. The originator is an external client.	{args: "1", "T_ROB1"}
45382     	I   	Operational         	10123   	Program stopped                         	2014-08-18 11:09:23 	The task T_ROB1 has stopped. The reason is that the task is ready with this step. 	{args: "1", "T_ROB1"}
45383     	I   	Operational         	10052   	Regain start                            	2014-08-18 11:09:25 	A regain movement has started.	{args: "0"}
45384     	I   	Operational         	10053   	Regain ready                            	2014-08-18 11:09:25 	The regain movement is ready.	{args: "0"}
45385     	I   	Operational         	10156   	Program restarted                       	2014-08-18 11:09:25 	Execution of task T_ROB1 has been restarted from where it was previously stopped. The originator is an external client.	{args: "1", "T_ROB1"}
45386     	I   	Operational         	10123   	Program stopped                         	2014-08-18 11:09:25 	The task T_ROB1 has stopped. The reason is that the task is ready with this step. 	{args: "1", "T_ROB1"}
45387     	E   	Motion              	50204   	Motion supervision                      	2014-08-18 11:09:32 	Motion supervision triggered for axis 4 on mechanical unit ROB_1.	{args: "4", "ROB_1"}
45388     	I   	Operational         	10024   	Collision triggered                     	2014-08-18 11:09:32 	Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.	{args: }
45389     	I   	Operational         	10026   	Collision retraction                    	2014-08-18 11:09:34 	The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.	{args: }
45390     	E   	Motion              	50204   	Motion supervision                      	2014-08-18 11:09:34 	Motion supervision triggered for axis 4 on mechanical unit ROB_1.	{args: "4", "ROB_1"}
45391     	I   	Operational         	10024   	Collision triggered                     	2014-08-18 11:09:34 	Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.	{args: }
45392     	I   	Operational         	10026   	Collision retraction                    	2014-08-18 11:09:36 	The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.	{args: }
45393     	E   	Motion              	50204   	Motion supervision                      	2014-08-18 11:09:36 	Motion supervision triggered for axis 4 on mechanical unit ROB_1.	{args: "4", "ROB_1"}
45394     	I   	Operational         	10024   	Collision triggered                     	2014-08-18 11:09:36 	Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.	{args: }
45396     	I   	Operational         	10026   	Collision retraction                    	2014-08-18 11:09:38 	The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.	{args: }
45397     	I   	Operational         	10025   	Collision confirmed                     	2014-08-18 11:09:38 	The collision detection has been confirmed. 	{args: }
45398     	E   	Motion              	50204   	Motion supervision                      	2014-08-18 11:09:41 	Motion supervision triggered for axis 4 on mechanical unit ROB_1.	{args: "4", "ROB_1"}
45399     	I   	Operational         	10024   	Collision triggered                     	2014-08-18 11:09:42 	Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.	{args: }
45400     	I   	Operational         	10026   	Collision retraction                    	2014-08-18 11:09:43 	The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.	{args: }
45401     	E   	Motion              	50204   	Motion supervision                      	2014-08-18 11:09:43 	Motion supervision triggered for axis 4 on mechanical unit ROB_1.	{args: "4", "ROB_1"}
45402     	I   	Operational         	10024   	Collision triggered                     	2014-08-18 11:09:44 	Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.	{args: }
45403     	I   	Operational         	10026   	Collision retraction                    	2014-08-18 11:09:45 	The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.	{args: }
45404     	E   	Motion              	50204   	Motion supervision                      	2014-08-18 11:09:45 	Motion supervision triggered for axis 4 on mechanical unit ROB_1.	{args: "4", "ROB_1"}
45405     	I   	Operational         	10024   	Collision triggered                     	2014-08-18 11:09:46 	Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.	{args: }
45406     	I   	Operational         	10026   	Collision retraction                    	2014-08-18 11:09:47 	The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.	{args: }
45407     	I   	Operational         	10025   	Collision confirmed                     	2014-08-18 11:09:50 	The collision detection has been confirmed. 	{args: }
45408     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 11:09:54 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45409     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 11:10:35 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45410     	I   	Operational         	10011   	Motors ON state                         	2014-08-18 11:10:36 	The system is in the Motors ON state.	{args: }
45411     	E   	Motion              	50204   	Motion supervision                      	2014-08-18 11:10:38 	Motion supervision triggered for axis 4 on mechanical unit ROB_1.	{args: "4", "ROB_1"}
45412     	I   	Operational         	10024   	Collision triggered                     	2014-08-18 11:10:39 	Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.	{args: }
45413     	I   	Operational         	10026   	Collision retraction                    	2014-08-18 11:10:40 	The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.	{args: }
45414     	E   	Motion              	50204   	Motion supervision                      	2014-08-18 11:10:40 	Motion supervision triggered for axis 4 on mechanical unit ROB_1.	{args: "4", "ROB_1"}
45415     	I   	Operational         	10024   	Collision triggered                     	2014-08-18 11:10:41 	Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.	{args: }
45416     	I   	Operational         	10026   	Collision retraction                    	2014-08-18 11:10:42 	The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.	{args: }
45417     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 11:10:43 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45418     	I   	Operational         	10045   	System restarted                        	2014-08-18 11:15:05 	An already installed system was restarted. 	{args: }
45419     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 11:15:40 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45420     	I   	Operational         	10015   	Manual mode selected                    	2014-08-18 11:15:40 	The system is in the Manual mode.	{args: }
45421     	I   	Operational         	10155   	Program restarted                       	2014-08-18 11:15:40 	Execution of task T_ROB1 has been restarted from where it was previously stopped. The originator could not be determined.	{args: "1", "T_ROB1"}
45422     	I   	Operational         	10002   	Program pointer has been reset          	2014-08-18 11:15:40 	The program pointer of task tAwSys_1 has been reset.	{args: "2", "0", "tAwSys_1"}
45423     	I   	Operational         	10150   	Program started                         	2014-08-18 11:15:40 	Execution of task tAwSys_1 has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "2", "tAwSys_1"}
45424     	W   	Process             	111717  	Torch Services Warning                  	2014-08-18 11:15:41 	Torch services MechClean has unconfigured IO.	{args: }
45425     	W   	Process             	111715  	Torch Services Warning                  	2014-08-18 11:15:41 	Torch services Spray has unconfigured IO.	{args: }
45426     	I   	Operational         	10129   	Program stopped                         	2014-08-18 11:15:41 	The task T_ROB1 has stopped. The reason is that the event routine for RESET or POWER_ON is ready. 	{args: "1", "T_ROB1"}
45427     	I   	Process             	110460  	Weld Error Recovery                     	2014-08-18 11:15:43 	PROC Parameters was loaded by tAwSys_1Configuration of Weld Error Recovery is Complete.	{args: "tAwSys_1", "/arcDispatcher/main/main/0", " "}
45428     	I   	User                	80003   	awEqMillerAa July 23 2012               	2014-08-18 11:15:44 		{args: "awEqMillerAa July 23 2012"}
45429     	I   	User                	80003   	awEqMillerAa July 23 2012               	2014-08-18 11:15:46 		{args: "awEqMillerAa July 23 2012"}
45430     	I   	Process             	110460  	Weld Error Recovery                     	2014-08-18 11:15:49 	PROC Parameters was loaded by tAwSys_1Configuration of Weld Error Recovery is Complete.	{args: "tAwSys_1", "/arcDispatcher/main/main/0", " "}
45431     	I   	Process             	110466  	RW Arc Installation                     	2014-08-18 11:15:49 	Weld System 1 (of 1 installed) started in task tAwSys_1Active EquipmentClass awEqMillerAaStatus OK	{args: "tAwSys_1", "/arcDispatcher/main/main/0", "1", "1", "awEqMillerAa"}
45432     	W   	User                	80002   	T_ROB1 Active                           	2014-08-18 11:15:54 		{args: "T_ROB1 Active"}
45433     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 11:16:50 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45434     	I   	Operational         	10011   	Motors ON state                         	2014-08-18 11:16:50 	The system is in the Motors ON state.	{args: }
45435     	E   	Motion              	50204   	Motion supervision                      	2014-08-18 11:17:54 	Motion supervision triggered for axis 4 on mechanical unit ROB_1.	{args: "4", "ROB_1"}
45436     	I   	Operational         	10024   	Collision triggered                     	2014-08-18 11:17:55 	Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.	{args: }
45437     	I   	Operational         	10026   	Collision retraction                    	2014-08-18 11:17:56 	The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.	{args: }
45438     	E   	Motion              	50204   	Motion supervision                      	2014-08-18 11:18:11 	Motion supervision triggered for axis 4 on mechanical unit ROB_1.	{args: "4", "ROB_1"}
45439     	I   	Operational         	10024   	Collision triggered                     	2014-08-18 11:18:12 	Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.	{args: }
45440     	I   	Operational         	10026   	Collision retraction                    	2014-08-18 11:18:13 	The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.	{args: }
45441     	E   	Motion              	50204   	Motion supervision                      	2014-08-18 11:18:14 	Motion supervision triggered for axis 4 on mechanical unit ROB_1.	{args: "4", "ROB_1"}
45442     	I   	Operational         	10024   	Collision triggered                     	2014-08-18 11:18:14 	Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.	{args: }
45443     	I   	Operational         	10026   	Collision retraction                    	2014-08-18 11:18:15 	The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.	{args: }
45444     	E   	Motion              	50204   	Motion supervision                      	2014-08-18 11:18:16 	Motion supervision triggered for axis 4 on mechanical unit ROB_1.	{args: "4", "ROB_1"}
45445     	I   	Operational         	10024   	Collision triggered                     	2014-08-18 11:18:16 	Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.	{args: }
45446     	I   	Operational         	10026   	Collision retraction                    	2014-08-18 11:18:18 	The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.	{args: }
45447     	E   	Motion              	50204   	Motion supervision                      	2014-08-18 11:18:18 	Motion supervision triggered for axis 4 on mechanical unit ROB_1.	{args: "4", "ROB_1"}
45448     	I   	Operational         	10024   	Collision triggered                     	2014-08-18 11:18:18 	Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.	{args: }
45449     	I   	Operational         	10026   	Collision retraction                    	2014-08-18 11:18:20 	The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.	{args: }
45450     	E   	Motion              	50204   	Motion supervision                      	2014-08-18 11:18:23 	Motion supervision triggered for axis 4 on mechanical unit ROB_1.	{args: "4", "ROB_1"}
45451     	I   	Operational         	10024   	Collision triggered                     	2014-08-18 11:18:24 	Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.	{args: }
45452     	I   	Operational         	10026   	Collision retraction                    	2014-08-18 11:18:25 	The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.	{args: }
45453     	E   	Motion              	50204   	Motion supervision                      	2014-08-18 11:18:25 	Motion supervision triggered for axis 4 on mechanical unit ROB_1.	{args: "4", "ROB_1"}
45454     	I   	Operational         	10024   	Collision triggered                     	2014-08-18 11:18:26 	Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.	{args: }
45455     	I   	Operational         	10026   	Collision retraction                    	2014-08-18 11:18:27 	The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.	{args: }
45456     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 11:18:28 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45457     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 11:18:54 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45458     	I   	Operational         	10011   	Motors ON state                         	2014-08-18 11:18:55 	The system is in the Motors ON state.	{args: }
45459     	I   	Operational         	10025   	Collision confirmed                     	2014-08-18 11:18:58 	The collision detection has been confirmed. 	{args: }
45460     	E   	Motion              	50204   	Motion supervision                      	2014-08-18 11:19:03 	Motion supervision triggered for axis 4 on mechanical unit ROB_1.	{args: "4", "ROB_1"}
45461     	I   	Operational         	10024   	Collision triggered                     	2014-08-18 11:19:03 	Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.	{args: }
45462     	I   	Operational         	10026   	Collision retraction                    	2014-08-18 11:19:04 	The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.	{args: }
45463     	E   	Motion              	50204   	Motion supervision                      	2014-08-18 11:19:06 	Motion supervision triggered for axis 4 on mechanical unit ROB_1.	{args: "4", "ROB_1"}
45464     	I   	Operational         	10024   	Collision triggered                     	2014-08-18 11:19:06 	Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.	{args: }
45465     	I   	Operational         	10026   	Collision retraction                    	2014-08-18 11:19:07 	The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.	{args: }
45466     	I   	Operational         	10025   	Collision confirmed                     	2014-08-18 11:19:10 	The collision detection has been confirmed. 	{args: }
45467     	E   	Motion              	50204   	Motion supervision                      	2014-08-18 11:19:15 	Motion supervision triggered for axis 4 on mechanical unit ROB_1.	{args: "4", "ROB_1"}
45468     	I   	Operational         	10024   	Collision triggered                     	2014-08-18 11:19:16 	Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.	{args: }
45469     	I   	Operational         	10026   	Collision retraction                    	2014-08-18 11:19:17 	The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.	{args: }
45470     	I   	Operational         	10025   	Collision confirmed                     	2014-08-18 11:19:40 	The collision detection has been confirmed. 	{args: }
45471     	E   	Motion              	50204   	Motion supervision                      	2014-08-18 11:19:50 	Motion supervision triggered for axis 4 on mechanical unit ROB_1.	{args: "4", "ROB_1"}
45472     	I   	Operational         	10024   	Collision triggered                     	2014-08-18 11:19:50 	Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.	{args: }
45473     	I   	Operational         	10026   	Collision retraction                    	2014-08-18 11:19:51 	The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.	{args: }
45474     	I   	Operational         	10025   	Collision confirmed                     	2014-08-18 11:19:56 	The collision detection has been confirmed. 	{args: }
45475     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 11:20:22 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45476     	I   	Operational         	10013   	Emergency stop state                    	2014-08-18 11:26:04 	The system is in the Emergency stop state, since the Motors ON circuit has been opened by an Emergency Stop device. 	{args: }
45477     	E   	System              	20010   	Emergency stop state                    	2014-08-18 12:30:34 	The emergency stop circuit has previously been broken, and while broken, an attempt was made to operate the robot.	{args: "110"}
45478     	E   	System              	20010   	Emergency stop state                    	2014-08-18 12:30:34 	The emergency stop circuit has previously been broken, and while broken, an attempt was made to operate the robot.	{args: "110"}
45479     	E   	System              	20010   	Emergency stop state                    	2014-08-18 12:31:07 	The emergency stop circuit has previously been broken, and while broken, an attempt was made to operate the robot.	{args: "110"}
45480     	E   	System              	20010   	Emergency stop state                    	2014-08-18 12:31:07 	The emergency stop circuit has previously been broken, and while broken, an attempt was made to operate the robot.	{args: "110"}
45481     	E   	System              	20010   	Emergency stop state                    	2014-08-18 12:31:40 	The emergency stop circuit has previously been broken, and while broken, an attempt was made to operate the robot.	{args: "110"}
45482     	E   	System              	20010   	Emergency stop state                    	2014-08-18 12:31:40 	The emergency stop circuit has previously been broken, and while broken, an attempt was made to operate the robot.	{args: "110"}
45483     	I   	Operational         	10002   	Program pointer has been reset          	2014-08-18 12:35:09 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
45484     	E   	System              	20010   	Emergency stop state                    	2014-08-18 12:37:59 	The emergency stop circuit has previously been broken, and while broken, an attempt was made to operate the robot.	{args: "110"}
45485     	E   	System              	20010   	Emergency stop state                    	2014-08-18 12:37:59 	The emergency stop circuit has previously been broken, and while broken, an attempt was made to operate the robot.	{args: "110"}
45486     	E   	System              	20010   	Emergency stop state                    	2014-08-18 12:38:07 	The emergency stop circuit has previously been broken, and while broken, an attempt was made to operate the robot.	{args: "110"}
45487     	E   	System              	20010   	Emergency stop state                    	2014-08-18 12:38:08 	The emergency stop circuit has previously been broken, and while broken, an attempt was made to operate the robot.	{args: "110"}
45488     	E   	System              	20010   	Emergency stop state                    	2014-08-18 12:38:09 	The emergency stop circuit has previously been broken, and while broken, an attempt was made to operate the robot.	{args: "110"}
45489     	E   	System              	20010   	Emergency stop state                    	2014-08-18 12:38:09 	The emergency stop circuit has previously been broken, and while broken, an attempt was made to operate the robot.	{args: "110"}
45490     	E   	System              	20010   	Emergency stop state                    	2014-08-18 12:38:10 	The emergency stop circuit has previously been broken, and while broken, an attempt was made to operate the robot.	{args: "110"}
45491     	E   	System              	20010   	Emergency stop state                    	2014-08-18 12:38:10 	The emergency stop circuit has previously been broken, and while broken, an attempt was made to operate the robot.	{args: "110"}
45492     	E   	System              	20010   	Emergency stop state                    	2014-08-18 12:38:18 	The emergency stop circuit has previously been broken, and while broken, an attempt was made to operate the robot.	{args: "110"}
45493     	E   	System              	20010   	Emergency stop state                    	2014-08-18 12:38:18 	The emergency stop circuit has previously been broken, and while broken, an attempt was made to operate the robot.	{args: "110"}
45494     	E   	System              	20010   	Emergency stop state                    	2014-08-18 12:38:19 	The emergency stop circuit has previously been broken, and while broken, an attempt was made to operate the robot.	{args: "110"}
45495     	E   	System              	20010   	Emergency stop state                    	2014-08-18 12:38:20 	The emergency stop circuit has previously been broken, and while broken, an attempt was made to operate the robot.	{args: "110"}
45496     	E   	System              	20010   	Emergency stop state                    	2014-08-18 12:38:22 	The emergency stop circuit has previously been broken, and while broken, an attempt was made to operate the robot.	{args: "110"}
45497     	E   	System              	20010   	Emergency stop state                    	2014-08-18 12:38:22 	The emergency stop circuit has previously been broken, and while broken, an attempt was made to operate the robot.	{args: "110"}
45498     	E   	System              	20010   	Emergency stop state                    	2014-08-18 12:38:26 	The emergency stop circuit has previously been broken, and while broken, an attempt was made to operate the robot.	{args: "110"}
45499     	E   	System              	20010   	Emergency stop state                    	2014-08-18 12:38:26 	The emergency stop circuit has previously been broken, and while broken, an attempt was made to operate the robot.	{args: "110"}
45500     	E   	System              	20010   	Emergency stop state                    	2014-08-18 12:38:29 	The emergency stop circuit has previously been broken, and while broken, an attempt was made to operate the robot.	{args: "110"}
45501     	E   	System              	20010   	Emergency stop state                    	2014-08-18 12:38:29 	The emergency stop circuit has previously been broken, and while broken, an attempt was made to operate the robot.	{args: "110"}
45502     	E   	System              	20010   	Emergency stop state                    	2014-08-18 12:39:02 	The emergency stop circuit has previously been broken, and while broken, an attempt was made to operate the robot.	{args: "110"}
45503     	E   	System              	20010   	Emergency stop state                    	2014-08-18 12:39:02 	The emergency stop circuit has previously been broken, and while broken, an attempt was made to operate the robot.	{args: "110"}
45504     	E   	System              	20010   	Emergency stop state                    	2014-08-18 12:39:32 	The emergency stop circuit has previously been broken, and while broken, an attempt was made to operate the robot.	{args: "110"}
45505     	E   	System              	20010   	Emergency stop state                    	2014-08-18 12:39:32 	The emergency stop circuit has previously been broken, and while broken, an attempt was made to operate the robot.	{args: "110"}
45506     	E   	System              	20010   	Emergency stop state                    	2014-08-18 12:39:36 	The emergency stop circuit has previously been broken, and while broken, an attempt was made to operate the robot.	{args: "110"}
45507     	E   	System              	20010   	Emergency stop state                    	2014-08-18 12:39:36 	The emergency stop circuit has previously been broken, and while broken, an attempt was made to operate the robot.	{args: "110"}
45508     	E   	System              	20010   	Emergency stop state                    	2014-08-18 12:39:39 	The emergency stop circuit has previously been broken, and while broken, an attempt was made to operate the robot.	{args: "110"}
45509     	E   	System              	20010   	Emergency stop state                    	2014-08-18 12:39:39 	The emergency stop circuit has previously been broken, and while broken, an attempt was made to operate the robot.	{args: "110"}
45510     	E   	System              	20010   	Emergency stop state                    	2014-08-18 12:39:40 	The emergency stop circuit has previously been broken, and while broken, an attempt was made to operate the robot.	{args: "110"}
45511     	E   	System              	20010   	Emergency stop state                    	2014-08-18 12:39:40 	The emergency stop circuit has previously been broken, and while broken, an attempt was made to operate the robot.	{args: "110"}
45512     	E   	System              	20010   	Emergency stop state                    	2014-08-18 12:40:19 	The emergency stop circuit has previously been broken, and while broken, an attempt was made to operate the robot.	{args: "110"}
45513     	E   	System              	20010   	Emergency stop state                    	2014-08-18 12:40:20 	The emergency stop circuit has previously been broken, and while broken, an attempt was made to operate the robot.	{args: "110"}
45514     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 12:40:27 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45515     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 12:40:40 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45516     	I   	Operational         	10011   	Motors ON state                         	2014-08-18 12:40:40 	The system is in the Motors ON state.	{args: }
45517     	E   	Motion              	50204   	Motion supervision                      	2014-08-18 12:40:58 	Motion supervision triggered for axis 4 on mechanical unit ROB_1.	{args: "4", "ROB_1"}
45518     	I   	Operational         	10024   	Collision triggered                     	2014-08-18 12:40:59 	Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.	{args: }
45519     	I   	Operational         	10026   	Collision retraction                    	2014-08-18 12:41:00 	The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.	{args: }
45520     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 12:41:01 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45521     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 12:41:10 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45522     	I   	Operational         	10011   	Motors ON state                         	2014-08-18 12:41:11 	The system is in the Motors ON state.	{args: }
45523     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 12:41:13 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45524     	I   	Operational         	10025   	Collision confirmed                     	2014-08-18 12:41:14 	The collision detection has been confirmed. 	{args: }
45525     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 12:41:16 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45526     	I   	Operational         	10011   	Motors ON state                         	2014-08-18 12:41:17 	The system is in the Motors ON state.	{args: }
45527     	E   	Motion              	50204   	Motion supervision                      	2014-08-18 12:41:38 	Motion supervision triggered for axis 4 on mechanical unit ROB_1.	{args: "4", "ROB_1"}
45528     	I   	Operational         	10024   	Collision triggered                     	2014-08-18 12:41:38 	Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.	{args: }
45529     	I   	Operational         	10026   	Collision retraction                    	2014-08-18 12:41:40 	The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.	{args: }
45530     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 12:41:41 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45531     	I   	Operational         	10025   	Collision confirmed                     	2014-08-18 12:41:43 	The collision detection has been confirmed. 	{args: }
